Names	total	elements
		CLEC1B
		SPIRE2
		TRA2B
		LOC643650
		LOC392288
		CXorf61
		LOC729047
		BHMT
		LAIR1
		A2ML1
		HS3ST1
		KIAA1383
		LOC644450
		GSG2
		DNAJC5
		GATA6
		RPS4Y2
		CABP1
		RIBC1
		GOLGA6L10
		IPO4
		SLCO2A1
		POLE3
		BOP1
		RIN2
		POLR1E
		TMEM98
		CTSL2
		LOC284889
		METTL20
		DMRT3
		TRIM2
		BTN3A1
		DLEU2L
		FABP5
		LAMP3
		DLX6-AS1
		KBTBD3
		SORT1
		PLIN2
		HSP90AB2P
		MEIS2
		TPCN1
		PCBP4
		P4HA3
		LRRC4C
		ABHD2
		MZT1
		RACGAP1
		LOC729040
		FAM162B
		OBP2A
		ATP1B4
		RAB3A
		ZNF41
		AVEN
		CDH15
		NPM1
		C14orf132
		PCK2
		FLJ42627
		NLRP10
		ADAMTS16
		DNAJB8-AS1
		EDNRA
		CCT8
		POGZ
		FYB
		PRSS58
		EFHC1
		EIF3M
		C1orf55
		ESRRA
		LDHB
		BAMBI
		MRPS12
		MRGPRF
		HHLA2
		TAF10
		PIK3AP1
		PENK
		PRSS21
		RYR1
		MAPRE1
		SLED1
		SMAD9
		NDUFA2
		C3orf52
		DLGAP4
		MBD5
		OXTR
		KDM5A
		SUV39H2
		ERO1L
		HIST1H2BL
		EPX
		SEC11C
		SLC25A21
		TMEM33
		ANXA8L2
		SAMD12-AS1
		POU6F1
		KDELC1
		LOC100128226
		NUP88
		CD300A
		XRCC6BP1
		CSDA
		VASH1
		MIS18BP1
		SLC22A16
		RARB
		PLA2R1
		HMGB3P1
		LOC349196
		OR4X1
		DHX15
		HIST1H1A
		HLF
		ITPRIPL2
		ARPC3
		WDR12
		PKIB
		COLEC11
		SLAIN1
		APOBEC3B
		CARS
		MYH1
		AURKAPS1
		FXN
		C14orf82
		AURKA
		AGTRAP
		GPRC5C
		PAEP
		IGLL1
		IL5RA
		FAM154B
		NDNF
		PERP
		OR52E2
		LOC100506731
		TAAR3
		C10orf107
		CSRP3
		KRT8P41
		PRG3
		ZNF711
		RBM38
		MLIP
		DGKD
		SLC35E2
		MTSS1L
		PSORS1C3
		LOC150381
		RIMBP3
		PLXNB3
		MEGF10
		MKRN9P
		PRRX1
		LOC283728
		RPS6KA6
		MMP23B
		LOC100130232
		HCK
		AURKB
		OR5K1
		FLJ46875
		ZC3H6
		YIPF6
		GABBR1
		LOC100653210
		LOC439949
		LAMB3
		RRAD
		TIPIN
		SSRP1
		RALGPS1
		SPCS3
		HSP90AB5P
		DEF8
		MTHFD1
		TPT1
		CCDC113
		C14orf178
		MST1P9
		YWHAH
		VSTM4
		LOC645195
		CEBPD
		ADC
		SNTG2
		G6PC2
		LOC402160
		FOXL1
		MOSPD1
		POC1A
		CMYA5
		SVEP1
		LOC100507055
		BCRP2
		KLKP1
		FANCA
		DDX39A
		PCBP3
		TIMM17A
		PDSS1
		ZNF354C
		PGAM1
		ATP8B4
		PCBP1
		TM4SF20
		BMP8A
		GLDN
		HAGH
		NCAPD3
		PDGFD
		CACNA1H
		YPEL5
		TRIL
		PSMC4
		TUBA1A
		PRMT8
		LOC340017
		NOP10
		ANKRD22
		PSMD8
		OR5B2
		CYB561
		MAP1LC3B
		P2RY8
		AGXT2L1
		CYB5R4
		DCLK2
		C17orf89
		ZNF827
		PDE6H
		SCN4B
		EPB49
		ANTXR1
		ROPN1
		RHCE
		ETV7
		LOC100652967
		FLJ37201
		HRCT1
		PANK1
		LOC100616668
		RASSF10
		LRR1
		GLI1
		DGCR5
		ZNF177
		MCFD2
		GRIA1
		LOC644093
		PLAC9
		NHP2L1
		GALNTL2
		ZNF593
		PHOSPHO2
		FDFT1
		C1QTNF7
		FLJ32063
		UBE2D3
		FLJ27502
		SLC25A34
		TEX2
		SSC5D
		KLK4
		CD2
		COX7B
		ADH1C
		IL21R
		ZNF781
		RNF150
		PRDM6
		TMEM229A
		LINC00174
		RUNX1T1
		IMPA2
		PSIP1
		FAM122A
		USP18
		LOC100130849
		RASSF9
		SMCHD1
		POP7
		UGT2A3
		C11orf61
		LGALS12
		SYT7
		LRRC19
		SCCPDH
		OLIG1
		LST1
		LOC100132831
		TPPP3
		PRMT1
		EDA2R
		CD79B
		NAP1L6
		IRS2
		FAM107B
		SIK2
		OR6C76
		PTPN14
		SNRPG
		MXRA5
		FAM53A
		EPHB3
		GEMIN4
		RAMP3
		ZNF514
		EPSTI1
		GAP43
		LOC646034
		FRS3
		TNFRSF10C
		PDE3A
		TMC6
		DMGDH
		CAND2
		LOC646627
		TRANK1
		GXYLT2
		MDH2
		TSPY26P
		DHCR7
		CLLU1
		FAM89A
		PIK3CD
		PITPNM2
		OR10H2
		SLC31A2
		GPR182
		USMG5
		ZNF780B
		LRRC8E
		LOC728147
		MRPL11
		PPPDE2
		FHAD1
		UBE2L3
		TXNDC12
		SAR1A
		MCTP2
		RPS4Y1
		KIAA1841
		GPR18
		RNPC3
		EGFEM1P
		SLC9A3R2
		LOC283710
		C19orf38
		GTSE1
		LOC100129716
		PFN4
		ZDHHC8P1
		KLF9
		RPS24
		FIGN
		C12orf32
		NUF2
		HIST1H2BE
		RCC1
		MDFI
		RGS18
		C1orf220
		BTBD8
		GYG2
		HUNK
		MBLAC1
		LOC389033
		PDK4
		CLIC1
		LILRA5
		PRSS41
		LOC255167
		NNMT
		TREML2
		FAM104A
		CPZ
		PTTG1
		COL8A1
		LOC729324
		MRFAP1
		COLEC12
		TNFRSF25
		REEP1
		UBE2T
		LINC00478
		SLC2A1
		CREM
		RPH3A
		ATP2A3
		CHMP4C
		GCDH
		WEE1
		SSR4
		BCL2A1
		ANGPTL1
		C2orf27B
		RGS1
		FHOD3
		PARP8
		LOC401164
		ZNF862
		MS4A3
		TIMM8A
		P2RY14
		AJAP1
		ZNF608
		PTDSS1
		SYP
		PCDHB6
		COX6A1
		MMP11
		USP40
		B3GALT2
		CCT7
		BEST3
		HRNR
		ABCC9
		UCHL3
		XCL1
		KLHDC8A
		EI24
		INSL6
		CCDC102B
		ZNF577
		DOCK1
		SHC2
		CGREF1
		LOC728431
		BLNK
		FLJ44124
		PDZK1IP1
		FOXD2
		TPTE2P1
		GGH
		MDGA1
		COL5A3
		PPP1R13L
		BPGM
		GFPT1
		ME2
		FAM207A
		H3F3A
		WDR61
		CD302
		C9orf129
		PRR13
		LOC100128281
		CGNL1
		ERAP2
		SERPINB8
		CCDC74B
		RPLP0
		HNRNPD
		CLEC4D
		RCOR1
		EBI3
		ZNF528
		MKNK2
		BMS1P1
		NXN
		LOC388588
		CENPE
		CRABP2
		PLD2
		GATA3
		SLC2A14
		IL17RD
		SPRYD5
		ZNF365
		CDC14B
		FLJ46906
		KCTD4
		IRX6
		ANGPTL4
		HCG22
		ZNF806
		C11orf52
		PCDHGB7
		VKORC1L1
		ABCA10
		RAET1K
		GLRA1
		RPS6
		ZNF582
		STK36
		SFXN1
		LOC100192426
		MZT2B
		HMGN2
		C6orf163
		PLCB4
		HSD17B3
		FLJ42280
		ISLR
		HNRNPA2B1
		TRIM34
		HOXA2
		GADD45A
		NARF
		UTP18
		HIST1H2AM
		FLJ16779
		GTF2A2
		ZNF793
		LINC00476
		RHOU
		VPREB1
		MGC4294
		C15orf42
		TACC3
		LILRB3
		TCEAL7
		GYS2
		FBXW10
		ATG2A
		RPGRIP1L
		PTPRF
		BLVRA
		SPDYE8P
		RASL12
		FAM25A
		SUSD3
		THOC4
		MYL3
		THBS4
		RRP1
		MSX2P1
		ARL4D
		C8orf50
		SH3BP5
		TRIM66
		AKAP6
		CXorf41
		SRPX2
		CBR3
		TTC39A
		ST6GALNAC4
		KIAA0391
		LYVE1
		C16orf47
		PDX1
		HIST1H4D
		KRTAP20-1
		PTPN20A
		CXorf28
		C10orf2
		TLR7
		FLJ44838
		MGC34034
		POLDIP2
		SLC22A15
		PDGFA
		HIST2H4B
		ANKHD1
		CFL1
		PRG2
		C1QTNF6
		KRTAP19-5
		TCEB1
		OPCML
		AKAP12
		GBP1P1
		CTSE
		TUSC3
		GABRD
		FBXL22
		PLSCR1
		HSPA12B
		EVI2B
		LAD1
		APOD
		DIRC3
		NCKAP1L
		NOX5
		LOC728743
		RBBP8
		C1orf38
		KCNJ12
		ELOVL2
		LOC100652805
		SIGLEC12
		XKRY2
		STAR
		C3orf26
		ADORA3
		TUBA1C
		FLJ26245
		CRIPAK
		RAI2
		SYTL2
		TMBIM6
		LOC100287879
		SNRNP25
		CAPS2
		SMPD3
		KAL1
		FOXS1
		MTFP1
		STIP1
		MMP26
		LOC100508384
		CYTIP
		MTDH
		C11orf45
		GEMIN2
		LOC441167
		SEMA6D
		HSPE1
		MYCN
		S100A2
		ZNF573
		C8orf60
		PCDHGA8
		NOP14
		GVINP1
		LOC253573
		GSPT1
		ARPC1B
		SNRK
		PIGY
		COPS3
		DNM2
		GLDC
		TMEM97
		PLA2G7
		EXTL2
		VARS
		DLGAP3
		PI4K2B
		ALS2CR8
		MFAP2
		OXCT2
		FAM72A
		ST5
		STRA6
		FZD8
		LOC100505501
		BTN2A3P
		PPP2R3B-AS1
		C3orf45
		C6orf174
		MRPS36
		DEFB118
		FAM76A
		ANKLE1
		VWC2
		ZFP2
		CNIH4
		BZW2
		GUCY2F
		WFDC2
		TST
		NDUFA7
		COL16A1
		ERLIN1
		GPX8
		CHCHD10
		CELF2
		HIST1H2BK
		SLC29A1
		TP53I11
		LOC100506514
		PF4V1
		DCPS
		TMEM200B
		NTNG1
		VASN
		SBK1
		LOC285326
		RGNEF
		RBFOX2
		PDE4B
		MYOZ3
		LOC100128653
		ZNF804B
		RPA3
		DLGAP5
		C1orf54
		RFX6
		TMEM14B
		ZNF396
		TFPI
		DPEP1
		UBE2MP1
		HAT1
		SGCD
		LOC284630
		CMTM5
		NKPD1
		NRIP2
		GJC2
		EIF2C2
		CC2D2B
		HOXD3
		GIPC3
		BFSP1
		FLRT3
		LCP2
		RNPS1
		ZNF772
		LOC100127910
		NDUFB11
		PTTG2
		MKI67
		C4orf6
		GLI2
		RPS2P32
		CCDC69
		ZFAND5
		EPS8L2
		PLGLB1
		ZSCAN23
		SLC10A5
		LOXL4
		VASP
		EXOSC4
		YARS
		LAMB2
		SRA1
		BAG4
		LOC644192
		DGKE
		LOC283867
		RPS6KA1
		C9orf53
		SLC7A1
		MRPS15
		GEMIN8P4
		CPOX
		SPSB1
		MEI1
		AK5
		CPS1
		NDRG4
		RABL2B
		BNIP3L
		ATP10D
		LCP1
		NRXN3
		PCDHGB6
		CDKN2C
		CUTC
		LOC442497
		TCTEX1D1
		C4orf39
		ABCB6
		PNPLA7
		NMU
		MXD1
		IFIH1
		ASXL1
		TUBB4B
		BOC
		RPL8
		TBRG4
		ANO8
		LOC647107
		MANSC1
		MIRLET7BHG
		ANKRD33
		FAM100B
		METTL11B
		RGS17
		CLDN1
		C14orf64
		GDF1
		NHLH1
		CDKL5
		HIST1H2BD
		TIMM17B
		MMADHC
		BMX
		PIP5K1B
		LY86-AS1
		C21orf90
		HOXC8
		OR9H1P
		FCER1G
		LARP4
		ZNF503-AS2
		APEX2
		SNTB1
		PSMB3
		MT1A
		C11orf96
		C1orf228
		SHOX2
		CPT1C
		ZNF207
		CLEC11A
		DKFZp761E198
		RNASE12
		PFKFB4
		CEACAM1
		SREBF1
		PCDHB5
		C15orf23
		CERS6
		GPR68
		LOC646903
		GYG1
		COL8A2
		HIST2H2AB
		C1orf187
		CYP8B1
		LOC100652763
		KRT12
		MKRN1
		TNP1
		LOC100129785
		ERRFI1
		COX7C
		BSPRY
		PGAM2
		FAM108B1
		LOC100131796
		MTL5
		OLFM3
		SEC61B
		ENGASE
		RRP15
		RSL1D1
		P2RX7
		DHX58
		LOC100132495
		TREML1
		B4GALT5
		MACROD2
		VNN2
		MCMBP
		SPINK8
		PLAC1L
		DTX3
		AMOT
		GSTM2
		ARMCX4
		ETV1
		LDOC1
		NRK
		FLJ38109
		RGS7BP
		C6orf138
		CDA
		CTRB1
		RNF123
		TAS2R50
		MCM8
		LOC147670
		CYFIP2
		NME1
		MUM1
		CEBPE
		LACTB
		EPM2AIP1
		PZP
		RPS9
		SYT16
		SIVA1
		CCDC148
		CLEC18C
		FCRL1
		ZNF883
		SIK1
		LOC100128508
		TMC7
		DKFZp547J222
		POLA2
		ZCWPW2
		ZC3H12B
		ITIH4
		HNRNPA1L2
		SLC16A1
		GATC
		PIM2
		LNX1
		SOX18
		INSIG1
		REEP2
		LOC100506127
		CACNA1G
		SPC24
		BMP8B
		LOC283731
		C1orf43
		SLC5A4
		TMEM54
		SYAP1
		SLC19A2
		C9
		DUSP13
		CD1C
		BCL2L14
		IFIT3
		EFS
		TMTC2
		PDE3B
		UCK2
		L3MBTL1
		LOC100129502
		PGK1
		RNASEH1
		OAT
		AGPAT9
		PCP2
		C11orf16
		HYAL3
		CLPB
		LTV1
		C3orf72
		E2F8
		TSPAN11
		TMEM130
		ADRA2C
		FLJ30403
		MYO1B
		PRTG
		RPL31P11
		PVRL1
		C5orf45
		MYL4
		FAM178A
		ARHGAP11A
		MATK
		TSTA3
		NFE2
		EHF
		DNAH14
		FRMD3
		SUSD5
		LOC100288428
		AGFG1
		COL22A1
		SLC28A3
		GUCY1A3
		ERI1
		ODZ2
		ATP8
		C20orf195
		S100P
		UGGT1
		SEC23B
		PRKCDBP
		SNORD116-19
		ACOT1
		LGR6
		ZFP28
		HMGB3
		HLTF
		TOPBP1
		LEPREL4
		NDUFA6
		C7orf58
		TMOD4
		NDUFAF3
		NETO2
		SQRDL
		LOC645722
		DOCK2
		SOX13
		KEL
		SYNPO2
		KCTD15
		FTHL17
		PRAM1
		EIF3B
		DSCR8
		RPL36A
		FLVCR1
		PROM2
		FAM201A
		TRIM22
		CDH13
		B4GALNT4
		HES5
		SAMD3
		TAS2R10
		C20orf111
		FASN
		GPR116
		SFXN2
		PRDX6
		AMBP
		MRI1
		AKAP7
		CROCC
		KRTAP19-4
		FARSB
		PSMA3
		BASP1
		GRK6
		FAM46B
		RPL29
		TMEM86A
		PIGZ
		KIAA1683
		CRLS1
		CYP2U1
		DEFA4
		PROK2
		SNRNP70
		RPGRIP1
		DACH1
		CMIP
		UCHL1
		TMEM45A
		NPHP1
		DAP3
		DPRXP4
		ST3GAL1
		RASL10B
		OSTalpha
		BTG1
		APOC3
		HIST1H3I
		APEH
		LOC404266
		PCDHA4
		FOLH1
		BRMS1
		SEC16B
		BTF3P11
		LOC728392
		LOC651536
		PCMT1
		HIST1H2AE
		LMLN
		GREB1
		GAGE7
		LOC127841
		NUP62CL
		GSTA4
		TCAM1P
		MARK1
		PNMT
		HIST1H3B
		NXF2
		FGG
		SEMA3E
		RBMXL3
		MXD4
		SLC8A3
		DNAH6
		LOC400568
		MRPL47
		SCIN
		LOC146336
		SLC2A3
		C2orf27A
		WDR43
		GNG5
		CADM2
		USP24
		LOC155060
		CPLX1
		LBP
		LRRC17
		CENPH
		ATP5B
		HIST1H4G
		COPZ2
		RNF180
		POLR2I
		DCLK1
		MEF2A
		NOP2
		ASF1B
		NDST4
		SLC4A3
		KCNH2
		FOXD3
		RPS3
		COL21A1
		ADCY5
		TUBA3C
		HOXB3
		HIST1H2BC
		SGCB
		FAM135B
		ZNF547
		TMEM217
		LINC00116
		CDC25C
		TRO
		LOC285181
		DKFZp451A211
		TBC1D22B
		PTRH1
		GJA8
		COX7B2
		GTF3A
		ARF1
		ARID5B
		DEFA9P
		NOTUM
		SPTAN1
		RCAN2
		ISOC2
		DSG2
		SIGLEC14
		TMEM72-AS1
		APLNR
		CITED1
		TANC1
		HIST1H2AL
		AKNAD1
		RAB26
		RRP9
		LOC400643
		PRRT4
		SLC1A5
		MT1M
		DTX1
		RGAG4
		TNNC1
		MYBL2
		GFI1B
		MYL6
		RPSA
		HOXD4
		HLA-DPB2
		HSPA4L
		SMC4
		LOC728061
		PRSS35
		RGS19
		SCRG1
		RPL22L1
		MGAT5B
		ECM1
		LOC100271722
		ZDHHC24
		C1orf21
		HOXA3
		ZNF410
		MNDA
		RAB21
		ZW10
		SCAND1
		LOC100129940
		ELOVL7
		PIM1
		LOC338817
		IFIT2
		IP6K3
		STAP1
		GUCY1B3
		HILS1
		FCN2
		DLX6
		NKG7
		DNALI1
		OR4N4
		ATHL1
		TCEA2
		TARS
		FLJ21408
		ARHGAP28
		CDCA7L
		LRRC66
		MCM3
		FAM149A
		RPS2
		KAZALD1
		NDUFA4L2
		CDC37L1
		RCOR2
		NBPF1
		BNIP3
		SNRPE
		TAS2R46
		STK38L
		IL13RA2
		FES
		MTHFD2
		NPTX2
		OR5M9
		MIIP
		C4orf38
		CXorf58
		SS18L2
		OAS3
		KIAA1407
		NPRL3
		LRIG3
		GABRB1
		LILRA2
		RPL7
		MARVELD1
		SGOL1
		ANO1
		UBE2M
		FURIN
		UQCRFS1
		ARL10
		RAMP1
		P2RX5
		ST8SIA1
		JAKMIP1
		INSL5
		ZYX
		MYO1H
		BLM
		UNC13D
		SMAD7
		SOX3
		AVIL
		LMOD1
		FCER1A
		KIAA1107
		LOC646851
		SNRPD1
		LPCAT2
		PHOX2A
		RGL3
		ASPA
		BZW1
		CCDC158
		ZNF221
		HCG26
		LOC389831
		C20orf3
		GDAP1
		PCNA
		PCDHB2
		GPATCH4
		AVPI1
		CYC1
		DISP1
		RSPO1
		RAB6B
		C9orf30-TMEFF1
		RAB33A
		S1PR4
		KYNU
		GPN3
		MPP1
		CCDC86
		STX11
		H1FX-AS1
		LOC100130009
		ARG1
		KIF2C
		HBD
		KBTBD11
		RAD51C
		CNTNAP4
		GNG4
		FLJ33581
		ZNF217
		PNPLA1
		ACCN2
		LOC100131347
		TPM1
		LINGO1
		CRIM1
		SALL2
		LOC729681
		FLNB
		NRG2
		CTH
		MEGF9
		TM7SF4
		GABARAPL1
		VSIG4
		LCTL
		NAPEPLD
		ABCG4
		MGC16025
		FAM155A
		DPY19L2
		RFESD
		KLC3
		FOXN4
		UBXN2B
		CSNK1D
		PPIA
		ZNF599
		LOC100192378
		KCNE1L
		NDUFB6
		GABPB1
		C20orf46
		PLEKHH2
		SEMA3B
		GLI3
		LOC642781
		PTCH1
		LOC100506898
		COX19
		AK2
		LRRC10B
		C1orf185
		RNU2-2
		SNX20
		C17orf87
		ASMTL-AS1
		AVPR2
		C1QTNF9
		PNPLA8
		RP2
		REG3G
		LOC100506247
		SGCG
		DCDC2
		HAUS8
		MGC23270
		SIGLECP3
		ADRM1
		ZG16B
		UBAP1
		DHRS3
		ANKRD9
		ALDOA
		EXOSC5
		GAB2
		AZU1
		AIMP2
		CDRT15L2
		TRGV7
		RAPGEF4
		AADAT
		HEG1
		SEPT7P2
		ALS2CR11
		FUT10
		ZNF521
		PDCD10
		COL13A1
		CHMP4B
		ACADS
		MED30
		C18orf56
		ERVW-1
		NXT1
		GRAMD1A
		KCNK4
		TROAP
		EPHX2
		SSNA1
		ELOVL4
		CMAHP
		LOC100505933
		BATF
		CCDC8
		DPH3P1
		EEF1A1
		TEF
		FBXO43
		PDCD2
		LIMK2
		GAR1
		ETF1
		EIF4G1
		RPF2
		KCNJ14
		TRPM4
		LOC440993
		UBE2D1
		ISYNA1
		LSM7
		LOC728739
		ANGPT2
		FAM60A
		KRT2
		RPS15
		ZNF618
		OR2G6
		PHLDB1
		DNAJC6
		MLX
		DACH2
		PSMA4
		JAG2
		DEFA3
		RILPL2
		STX3
		SLCO4A1
		TGM1
		PTPRK
		ARSI
		CCDC19
		GPR82
		THOC3
		ZNF610
		LOC284648
		LOC100132057
		SNHG3
		CCNO
		KLF1
		NMUR1
		LOC100506393
		H2BFM
		KCNK2
		LGALS16
		TBC1D4
		PCDHGA2
		DNM3
		HBXIP
		RNF207
		C7orf10
		MOXD1
		FAM13C
		PDGFRL
		LOC100127885
		ASXL3
		RPIA
		LOC100131564
		HIST1H1B
		KCNT2
		CCDC36
		GZMH
		NUP98
		HSPA13
		TRABD
		ECM2
		CLEC3A
		OR56A3
		DLG2
		HIST1H3H
		DPP3
		TUBB2A
		DAB2
		RPL36
		FAM101A
		TTLL12
		RRP8
		RFC2
		NCKAP5
		PLXNA2
		ZDHHC15
		DNM1P46
		KRT27
		MN1
		LY6G6D
		CD24
		STXBP5L
		NSF
		GPR37
		SCARA5
		PLK2
		SGK223
		ARHGAP9
		EIF1B
		LSM6
		HERPUD1
		HTR1F
		PRSS12
		AFAP1L2
		RBP4
		CDCA3
		METTL9
		GPR137C
		BTC
		PPEF1
		PCDHGB8P
		SRXN1
		ATAD2
		ZNF229
		LOC151484
		SLC2A12
		RPL21
		CLIC3
		DUSP5P
		FAM47C
		HOMER2
		KCNS1
		EPB41L2
		PIWIL4
		JMJD6
		RAP1B
		CTSL1
		BRIP1
		P2RY6
		PLXDC2
		CADM3
		RPL21P44
		ADRA2B
		ZNF699
		SLC7A5
		FABP1
		AAMP
		TRIM7
		AK4
		NDUFAF2
		GUCY1A2
		TBCA
		FMNL3
		C15orf5
		STXBP6
		GSTT2B
		MT1L
		C6orf115
		GP9
		CYP4Z1
		KCNAB2
		GPR4
		MXI1
		EIF4A1
		LOC644366
		STRA8
		SEPX1
		LOC100130817
		ADORA1
		CLINT1
		TSPAN10
		FGF9
		MRPL39
		SRPK2
		CACNA1A
		CASC5
		IFIT5
		LOC401127
		SPG21
		CYS1
		OSR1
		DOK3
		ENY2
		KIAA1671
		C9orf84
		CREG1
		IFIT1
		HCG4
		CLEC2L
		LIMCH1
		PRSS50
		DENND3
		SCN2A
		HIST1H2AK
		ENSA
		RNF148
		LOC284578
		SAP30
		IGDCC4
		MMAA
		LOC100128477
		LOC283143
		KRT19P2
		RPAIN
		LPAR5
		SASH3
		IFI30
		HCP5B
		EEF1E1
		GLUL
		LAMTOR1
		ELOVL6
		TMEM71
		MDK
		METRNL
		LOC729020
		RASSF2
		DLX3
		AVPR1A
		PPIF
		UBA52
		COL14A1
		PRKD1
		SOX8
		PRR23A
		TNFAIP8
		GNB2L1
		MICALCL
		MTHFS
		ANKRD50
		LOC100128751
		SIX4
		VPREB3
		EGFL6
		TMEM35
		ZNF674
		C19orf77
		RAPGEF3
		LHX6
		KIAA1549
		PNMAL1
		ZNF367
		PCDH10
		PRR5L
		TTC21A
		TNNI3K
		KIAA1456
		LTF
		HIST1H4F
		CRYZ
		DNAJB9
		TAS1R1
		TNN
		GATA5
		C10orf58
		SMOC1
		C9orf131
		BCAS1
		RPL23AP32
		WDHD1
		PARL
		BICC1
		NBPF11
		SLC45A4
		SEMA3D
		SLC36A2
		TMEM170B
		PROM1
		KIF15
		LOC728073
		SIGLEC10
		FAM26E
		CEACAM7
		STOML2
		PADI2
		GOLIM4
		ADSL
		FAT3
		UBXN1
		GLRX5
		RAB5C
		ATP1A1OS
		FAM158A
		DBIL5P2
		PCDHA3
		C6orf165
		MGAT4A
		NFKBIB
		SLC46A1
		LOC400794
		CCNH
		CAPN5
		MAGEA1
		PA2G4
		FAM189A2
		SALL4
		PDE11A
		CADM1
		INPP5D
		TEX12
		ABCA4
		SYCP2
		XAGE3
		APCDD1
		LOC100289333
		RGS9
		LINC00301
		SRSF2
		LOC100134229
		CNKSR1
		OR4C6
		CLEC19A
		ZFP112
		UBTD2
		KRTAP8-1
		EIF2AK1
		B4GALT3
		LOC644554
		MAP1B
		LOC100509860
		PPFIBP2
		C11orf63
		SSSCA1
		EDARADD
		LRRC3
		PTAFR
		LOC731223
		ROBO2
		BEND6
		CENPV
		FAM122C
		PLEKHH3
		IFT81
		RSAD2
		OR2D3
		C21orf37
		CRTC3
		CDH23
		GLT25D2
		CYTH3
		FLJ46257
		SRGAP3
		LOC219347
		PDK1
		LOC100127983
		OXSR1
		REEP4
		RPL13A
		MEST
		HTRA2
		SARDH
		ANGPTL2
		LOC100499221
		CD300LF
		RPS7
		MORN4
		CCDC146
		HEY2
		OR51A4
		ARHGDIA
		GCAT
		S1PR5
		AUP1
		PIP
		GSTO1
		LAPTM5
		C8orf84
		NRBP2
		NOLC1
		PGAM4
		LSM1
		FLJ27352
		C16orf61
		LOC388242
		CFB
		HEMGN
		NPTX1
		ZNF323
		OR4C11
		RTKN
		LOC100131840
		UPP1
		TARP
		CLEC4G
		LOC284080
		NDUFS5
		MYO1G
		8-Mar
		GMNN
		FAM159B
		KCTD16
		RNF149
		CCT5
		PAPLN
		RAB27A
		SELRC1
		CSF2RA
		CITED4
		EYA4
		PRKAB1
		LOC375295
		CCDC121
		ITPKC
		RAD21
		SNRPB
		C1orf204
		LPPR3
		ORC6
		IRF8
		PFN1
		BCL3
		SLC16A8
		TCEA3
		F2RL3
		LPCAT3
		ABLIM3
		SF3B4
		LTC4S
		SEMA5A
		MIF4GD
		PSMC3
		TTPAL
		C13orf15
		ADAMTS10
		C1orf127
		LOC348761
		FAM9C
		LOC100131825
		DUSP16
		BCL11A
		RAMP2
		F12
		CERCAM
		F11R
		PI16
		ELL2
		KDM5D
		NTN5
		LOC401134
		TXN
		ADAM20
		ZNF30
		REM1
		FZD1
		PLAC8
		FANCE
		GMPS
		PTK6
		FKBP9
		PMEPA1
		ZNF436
		LOC100287477
		HOXC6
		LRP2BP
		PRAMEF22
		CLIC2
		C21orf30
		HES4
		KCNK5
		C5orf62
		MYOZ1
		TSNAXIP1
		HKDC1
		FAM131B
		PSME3
		L1TD1
		HIST1H3A
		C18orf54
		C19orf28
		CHAC2
		LOC100508383
		KIAA0754
		HMGA1
		CA1
		LOC728316
		LOC286068
		LOC100130452
		UAP1
		KCNJ15
		MLPH
		MYOM3
		APBB1IP
		GOLGA2P2Y
		LOC100130627
		SULT1B1
		SLC4A11
		FAM81A
		MYH7B
		FAM123C
		VSIG10
		DLEU1
		CISH
		ZNF683
		SPINT2
		SLC22A10
		CLDN18
		RASSF6
		HSPG2
		ATP6V0E1
		SLCO4C1
		ZNF658
		C21orf58
		NANS
		OLFML1
		FKBP1A
		CYP24A1
		FAM41AY1
		RFTN2
		NPAS3
		AMD1
		COQ2
		AHSP
		USH1C
		ATP8B1
		LRRC3B
		SMEK3P
		TUBB1
		BOLA2B
		LOC100130463
		SNORD3B-1
		S100A13
		ARMCX2
		GRIA2
		VDAC2
		LINC00242
		VHL
		IFI44
		FAM49B
		ATP5G1
		PNPLA2
		SNX21
		GALNTL5
		NPHP3-AS1
		C1QTNF8
		CNST
		PTCH2
		EAF2
		IFNA8
		FAM138E
		FRMD4B
		N4BP3
		HBG1
		RFPL1
		C3orf67
		HCLS1
		VSTM1
		SPOCD1
		TTTY17A
		ZNF622
		IL11RA
		CDHR2
		LOC100131541
		TOP1
		C12orf54
